ailab_adlendschedule,ailab_adlstartschedule,ailab_airportcode,ailab_airportcodeid,ailab_airportname,ailab_apisemailtoaddress,ailab_apissitatoaddress,ailab_arrbsminuseflag,ailab_boardingpassstampneeded,ailab_bsminuseflag,ailab_buminuseflag,ailab_carhireavailable,ailab_checkinopenminutesbefore,ailab_city,ailab_country,ailab_countrycode,ailab_countrycodeid,ailab_currencycodeid,ailab_defaultbagtagmode,ailab_defaultboardingcardmode,ailab_defaultdatacapturemode,ailab_defaultkioskclosebeforesdtminutes,ailab_destinationid,ailab_eresenabled,ailab_gmtoffset,ailab_hasfasttracksecurity,ailab_hasmobilecheckin,inuseflag,ailab_isfasttrackforejpluscard,ailab_isfasttrackforflexi,ailab_isskidestination,ailab_latitude,ailab_longitude,ailab_pnlitineraryflag,ailab_pnlschedule,ailab_pnlvariantid,ailab_printertypecodeid,ailab_prmschedule,ailab_sbplusflag,ailab_updatedatetm,ailab_input_file_name,ailab_bronze_insertdttm,ailab_acquisitiondttm,ailab_hashkey,ailab_insertdttm,ailab_updatedttm,ailab_changeflag,ailab__recordid
23.84,3.59,SIN,393,Heathrow,ops0@air.com,SITA0,Y,1,N,Y,0,209,New York,Singapore,IN,155,120,MANUAL,AUTO,SCAN,74,1557,N,2,0,Y,Y,1,0,1,1.794137841,-1.0715366641,N,6.81,289,43,199,Y,2024-11-08 02:59:00,ingest_file_0.csv,2024-05-28 03:48:00,2025-01-05 14:21:00,HK353655,2024-03-28 14:40:00,2024-08-23 15:33:00,I,5622150781
13.86,8.77,JFK,181,Indira Gandhi Intl,ops1@air.com,SITA1,Y,1,Y,Y,1,75,New York,India,IN,2,82,AUTO,AUTO,SCAN,30,5610,N,9,0,N,Y,0,1,0,-62.7941733752,-151.5541291211,N,17.93,179,1,91,N,2024-10-07 13:31:00,ingest_file_1.csv,2024-04-06 04:57:00,2024-10-28 00:57:00,HK885742,2024-04-01 15:15:00,2024-01-05 11:00:00,I,4982723770
16.55,19.33,BOM,33,Indira Gandhi Intl,ops2@air.com,SITA2,Y,1,Y,N,0,249,Delhi,UAE,UK,104,152,MANUAL,AUTO,TYPED,42,5560,Y,-4,0,N,N,1,1,1,7.843422295,143.8961520883,Y,19.53,19,39,91,N,2025-01-27 23:30:00,ingest_file_2.csv,2024-04-10 23:47:00,2024-10-12 21:05:00,HK694386,2024-01-30 23:15:00,2024-01-15 15:54:00,I,7608639970
12.69,22.71,BOM,348,JFK Intl,ops3@air.com,SITA3,N,1,N,Y,0,147,Singapore,UK,SG,233,27,MANUAL,MANUAL,TYPED,69,1565,Y,-8,1,Y,Y,0,1,0,-58.0062163825,96.6493075547,N,4.33,402,30,189,Y,2024-06-03 12:59:00,ingest_file_3.csv,2024-04-20 05:41:00,2024-11-20 12:44:00,HK939836,2024-12-26 06:14:00,2024-12-16 13:18:00,U,7666501910
7.9,6.5,DEL,249,Heathrow,ops4@air.com,SITA4,Y,1,N,Y,0,208,London,USA,US,60,10,MANUAL,AUTO,TYPED,65,3319,Y,5,0,N,N,1,0,0,42.8427172279,-30.0879164554,Y,7.92,104,25,115,Y,2024-10-19 02:27:00,ingest_file_4.csv,2024-11-09 02:44:00,2024-09-19 20:52:00,HK997267,2024-07-10 12:13:00,2025-02-03 07:50:00,I,6302377729
3.43,10.51,LHR,147,Indira Gandhi Intl,ops5@air.com,SITA5,N,1,N,N,0,210,Delhi,UK,AE,28,17,AUTO,AUTO,SCAN,44,8984,Y,-4,0,N,Y,1,0,1,102.8615881879,-177.9004800846,Y,7.83,58,17,60,N,2024-02-05 03:51:00,ingest_file_5.csv,2024-03-02 13:34:00,2024-06-02 14:32:00,HK419866,2024-05-06 01:22:00,2024-06-26 02:27:00,I,4778659494
4.11,19.53,LHR,272,Changi,ops6@air.com,SITA6,Y,0,N,Y,0,134,London,India,UK,97,56,MANUAL,MANUAL,SCAN,23,9148,Y,3,0,N,N,1,0,0,-105.0960850094,-43.1808874274,Y,11.33,415,45,130,Y,2024-10-28 20:50:00,ingest_file_6.csv,2024-11-06 04:18:00,2024-04-14 19:41:00,HK336358,2024-08-13 05:34:00,2024-11-14 03:21:00,U,5298500774
0.42,22.74,JFK,402,Heathrow,ops7@air.com,SITA7,Y,1,Y,Y,1,188,Dubai,UAE,AE,194,152,AUTO,MANUAL,SCAN,31,3959,N,-11,0,Y,N,1,1,1,120.0901056676,-144.1606369958,Y,14.42,228,7,59,Y,2025-01-24 08:17:00,ingest_file_7.csv,2024-06-01 23:56:00,2024-05-03 05:49:00,HK496801,2024-02-21 18:43:00,2024-09-17 23:07:00,I,7956675794
2.41,14.01,LHR,279,Changi,ops8@air.com,SITA8,Y,1,Y,Y,0,108,Dubai,UAE,UK,14,124,AUTO,AUTO,SCAN,56,3003,Y,1,1,N,Y,1,1,0,179.31594737,84.8060150195,N,0.48,433,24,168,N,2024-01-02 23:28:00,ingest_file_8.csv,2024-11-09 07:09:00,2024-12-10 23:02:00,HK745734,2024-04-26 21:18:00,2024-09-11 14:15:00,I,9292485235
12.71,17.91,LHR,137,JFK Intl,ops9@air.com,SITA9,Y,0,N,N,0,295,Dubai,Singapore,US,243,118,AUTO,MANUAL,SCAN,99,4588,N,-3,1,Y,N,1,0,1,69.5019254395,-10.1523450011,Y,12.85,72,14,90,Y,2024-02-02 14:07:00,ingest_file_9.csv,2024-11-23 16:59:00,2024-06-27 00:41:00,HK443585,2024-07-09 00:12:00,2024-08-10 19:47:00,U,9114138904
